Comment,Description,Designator,Footprint,LibRef,Quantity

"5,6k/1%","","R5, R10, R11, R16","0805-T","R","4"
"30k","","R1","0805-T","R","1"
"100R","","R8","0805-T","R","1"
"1k","","R2, R4","0805-T","R","2"
"220R","","R3","0805-T","R","1"
"6,8k","","R6","0805-T","R","1"
"10k","","R7","0805-T","R","1"
"9,1k","","R9","0805-T","R","1"
"15nF","Capacitor","C27, C31","0805C-B","C","2"
"220nF","Capacitor","C43","0805C-B","C","1"
"100nF","Capacitor","C15, C17, C18, C20, C37, C39, C40, C42","0805C-B","C","8"
"47pF","Capacitor","C44","0805C-T","C","1"
"330pF","Capacitor","C25, C34","0805C-T","C","2"
"220nF","Capacitor","C2","0805C-T","C","1"
"470nF","Capacitor","C4, C22, C26, C30","0805C-T","C","4"
"1nF","Capacitor","C3, C21","0805C-T","C","2"
"100nF","Capacitor","C7, C11, C12","0805C-T","C","3"
"220nF","Capacitor","C16, C19, C38, C41","1206C-T","C","4"
"4R7","","R12, R14","1206C-T","R","2"
"47uH","","L5, L6","1210-T","L-IN","2"
"22R","","R13, R15","2512","R","2"
"47uH","","L3, L4","BEAD","L-IN","2"
"BEAD","","L1, L2","BEAD","L-IN","2"
"15nF","Capacitor","C29, C33","C/5MKT/3","C","2"
"560p","Capacitor","C23, C35","C/5MKT/3","C","2"
"220nF","Capacitor","C24, C36","C/5MKT/4.5","C","2"
"470nF","Capacitor","C28, C32","C/5MKT/4.5","C","2"
"27uH","","L7, L8","CEWKA T5","L-IN","2"
"CON10","","Z2","CON2X5","CON10","1"
"47uF/35V LOW ESR","Electrolytic Capacitor","C13, C14","EL/5","C+","2"
"1uF","Electrolytic Capacitor","C1","EL/5","C+","1"
"47u/63V LOW ESR","Electrolytic Capacitor","C9","EL/8","C+","1"
"330uF/35V","Electrolytic Capacitor","C8, C10","EL/10","C+","2"
"470uF/16V","Electrolytic Capacitor","C5","EL/10","C+","1"
"","","K4, K7","KONEKTOR-F","A","2"
"GND","","K2","KONEKTOR-F","A","1"
"HIGH","","K6","KONEKTOR-F","A","1"
"-25V","","K3","KONEKTOR-F","A","1"
"LOW","","K5","KONEKTOR-F","A","1"
"+25V","","K1","KONEKTOR-F","A","1"
"Comment","","Designator199, Designator200, Designator201, Designator201, Designator202, Designator203, Designator204, Designator205","MARKER2","","8"
"Comment","","Designator176, Designator176_1, Designator177, Designator177_1","P-20T","","4"
"BAV103","Diode","D2, D3","SOD80-T","D","2"
"BC817","","T1","SOT23-3","NPN","1"
"BC860","","T2, T3","SOT23-3","PNP","2"
"TDA8920","","U2","TDA8920","TDA8920","1"
